"pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC5","SubFPC9","SubFPC13","SubFPC18","SubFPC49","SubFPC84","SubFPC85","SubFPC88","SubFPC100","SubFPC133","SubFPC135","SubFPC136","SubFPC137","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC183","SubFPC275","SubFPC279","SubFPC287","SubFPC295","SubFPC302","SubFPC303","SubFPC307"
4.29242982390206,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,0,0,0,0,1,0,2,5,1,0,16
6.66354026615147,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,0,0,0,0,1,0,2,5,1,0,16
4.76955107862173,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,0,0,0,0,1,0,2,5,1,0,16
3.67366413907125,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,0,0,0,0,1,0,2,5,1,0,16
3.86646109162978,0,0,0,0,3,0,0,0,1,0,1,0,0,1,1,3,1,0,0,0,0,1,0,2,5,2,0,17
4.92081875395237,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,0,0,0,0,0,1,0,2,5,1,0,16
3.28033731698195,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,4,4,4,0,15
3.38153350780092,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,3,3,0,18
3.98213228103649,2,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,16
3.65797231191253,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,6,5,0,15
3.53431978840172,3,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,8,8,2,11
3.83654044823001,3,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,10
3.90903692340427,2,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,2,0,2,10,8,0,12
3.86966623150499,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,5,1,0,0,0,0,1,0,4,7,2,0,23
6.88605664769316,2,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,16
6.49485002168009,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,4,0,16
6.88605664769316,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,4,0,16
6.69897000433602,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,5,4,0,16
6.72124639904717,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,5,4,0,16
7.65757731917779,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,5,4,0,16
4.06248210798265,1,0,1,0,3,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,5,0,17
5.81815641205523,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,5,4,0,16
4.78251605578609,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,5,4,0,16
6.48148606012211,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,5,4,0,16
6.69897000433602,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,7,5,0,16
6.76955107862173,1,0,1,0,3,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,5,0,17
6.74472749489669,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,5,4,0,16
7.27572413039921,0,1,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,5,5,0,19
